City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
234,chak azam sahu,30.75,73.0333,287.54,38,8,3.62,PK,1709921511
235,santarem,-2.4431,-54.7083,304.22,70,40,2.57,BR,1709921513
236,port macquarie,-31.4333,152.9167,291.42,71,74,1.33,AU,1709921514
237,petrovsk,52.3064,45.3917,267.39,96,99,3.58,RU,1709921515
238,kingston,17.997,-76.7936,304.91,66,20,9.77,JM,1709921516
239,vidra,44.2606,26.1697,280.55,72,100,0.94,RO,1709921518
240,hawaiian paradise park,19.5933,-154.9731,295.39,95,100,2.06,US,1709921519
241,inhambane,-23.865,35.3833,302.14,79,20,4.12,MZ,1709921520
242,hadibu,12.65,54.0333,299.11,77,36,3.4,YE,1709921362
243,zarichne,51.8126,26.129,274.62,64,5,2.1,UA,1709921523
244,gouyave,12.1646,-61.7296,300.43,75,2,7.36,GD,1709921524
245,america dourada,-11.4553,-41.4361,303.88,40,11,5.65,BR,1709921526
246,qamdo,31.1667,97.2333,268.57,43,57,2.59,CN,1709921527
247,satsuma,30.8532,-88.0561,295.54,82,100,4.97,US,1709921528
248,howard springs,-12.497,131.047,301.1,95,100,1.03,AU,1709921529
249,samalut,28.3121,30.7101,292.2,35,28,3.87,EG,1709921531
250,farah,32.5,62.5,286.75,45,69,2.45,AF,1709921532
251,san luis de la loma,17.2706,-100.8939,306.84,25,5,3.33,MX,1709921534
252,pollock pines,38.7613,-120.5866,283.57,46,0,2.57,US,1709921319
253,lospalos,-8.5186,127.0025,296.42,97,100,1.76,TL,1709921536
254,nizhniy odes,63.6445,54.856,256.32,96,100,3.13,RU,1709921538
255,vernon,50.2581,-119.2691,276.82,86,100,3.09,CA,1709921539
256,atherton,53.5237,-2.4935,280.23,72,30,2.24,GB,1709921540
257,shahrak,34.1074,64.3052,270.68,93,96,2.45,AF,1709921542
258,west island,-12.1568,96.8225,301.14,89,40,6.17,CC,1709921545
259,seven pagodas,12.6264,80.1722,302.09,78,31,3.15,IN,1709921546
260,mount isa,-20.7333,139.5,300.02,54,100,2.57,AU,1709921547
261,desna,50.9273,30.7605,275.85,62,6,2.69,UA,1709921549
262,talnakh,69.4865,88.3972,251.71,97,97,2.56,RU,1709921550
263,cabo san lucas,22.8909,-109.9124,299.6,40,0,2.06,MX,1709921551
264,semnan,35.5729,53.3971,284.14,44,87,1.74,IR,1709921553
265,olonets,60.9847,32.9698,267.67,89,26,2.87,RU,1709921554
266,punta arenas,-53.15,-70.9167,285.21,94,100,7.72,CL,1709921555
